,state,name,males,females,total,fips,population,rate,ratem,ratef,age1,age2,age3
1,AL,Alabama,228,42,270,1,4888949,5.522659369,9.327158046,1.718160693,5,12,242
0,AK,Alaska,25,8,33,2,738068,4.471132741,6.774443547,2.167821935,3,1,29
3,AZ,Arizona,208,40,248,4,7123898,3.481240186,5.839499667,1.122980705,4,14,227
2,AR,Arkansas,110,23,133,5,3020327,4.403496707,7.283979516,1.523013899,7,7,119
4,CA,California,1281,160,1441,6,39776830,3.622712016,6.44093559,0.804488442,13,80,1343
5,CO,Colorado,106,39,145,8,5684203,2.550929304,3.729634568,1.372224039,5,7,130
6,CT,Connecticut,83,27,110,9,3588683,3.065191325,4.625652363,1.504730287,22,1,84
8,DE,Delaware,33,8,41,10,971180,4.221668486,6.795856587,1.647480385,0,4,37
7,DC,District of Columbia,96,8,104,11,703608,14.78095758,27.28792168,2.273993474,0,2,102
9,FL,Florida,633,136,769,12,21312211,3.608260072,5.940256504,1.276263641,17,31,706
10,GA,Georgia,316,70,386,13,10545138,3.660454704,5.99328335,1.327626059,5,20,348
11,HI,Hawaii,7,6,13,15,1426393,0.911389778,0.981496684,0.841282872,0,0,13
13,ID,Idaho,23,5,28,16,1753860,1.596478624,2.622786311,0.570170937,1,1,27
14,IL,Illinois,552,63,615,17,12768320,4.816608606,8.64639984,0.986817373,7,60,545
15,IN,Indiana,296,43,339,18,6699629,5.05998168,8.83631019,1.283653169,4,13,316
12,IA,Iowa,47,9,56,19,3160553,1.771841826,2.974163066,0.569520587,1,0,54
16,KS,Kansas,90,21,111,20,2918515,3.803304078,6.167520126,1.439088029,4,4,99
17,KY,Kentucky,139,39,178,21,4472265,3.980086153,6.21608961,1.744082696,5,6,165
18,LA,Louisiana,369,51,420,22,4682509,8.969550299,15.76078124,2.178319358,5,21,385
21,ME,Maine,21,5,26,23,1341582,1.938010498,3.130632343,0.745388653,0,0,26
20,MD,Maryland,295,35,330,24,6079602,5.427986898,9.704582636,1.15139116,3,8,317
19,MA,Massachusetts,87,11,98,25,6895917,1.421130794,2.523232226,0.319029362,0,0,95
22,MI,Michigan,409,77,486,26,9991177,4.864291765,8.187223587,1.541359942,9,30,434
23,MN,Minnesota,91,14,105,27,5628162,1.865617941,3.233737764,0.497498118,1,0,102
25,MS,Mississippi,110,29,139,28,2982785,4.660074394,7.375657314,1.944491474,5,7,123
24,MO,Missouri,292,59,351,29,6135888,5.720443398,9.51777477,1.923112026,8,17,322
26,MT,Montana,31,1,32,30,1062330,3.012246665,5.836227914,0.188265417,0,0,32
29,NE,Nebraska,48,6,54,31,1932549,2.794237041,4.967532518,0.620941565,1,1,52
33,NV,Nevada,99,22,121,32,3056824,3.958356778,6.477311092,1.439402465,3,8,107
30,NH,New Hampshire,13,1,14,33,1350575,1.036595524,1.925105973,0.148085075,1,1,11
31,NJ,New Jersey,252,25,277,34,9032872,3.066577275,5.579620745,0.553533804,2,12,260
32,NM,New Mexico,69,19,88,35,2090708,4.209100458,6.600634809,1.817566107,5,4,78
34,NY,New York,329,49,378,36,19862512,1.903082551,3.312773329,0.493391772,3,15,357
27,NC,North Carolina,359,79,438,37,10390149,4.215531462,6.910391757,1.520671167,5,26,395
28,ND,North Dakota,7,1,8,38,755238,1.059268734,1.853720284,0.264817183,0,0,7
35,OH,Ohio,421,74,495,39,11694664,4.232699631,7.199864827,1.265534435,12,27,453
36,OK,Oklahoma,148,35,183,40,3940521,4.644055951,7.511697057,1.776414845,2,10,168
37,OR,Oregon,66,19,85,41,4199563,2.024020118,3.143184184,0.904856053,4,3,76
38,PA,Pennsylvania,492,77,569,42,12823989,4.436996944,7.673119495,1.200874393,8,19,537
39,RI,Rhode Island,19,6,25,44,1061712,2.354687524,3.579125036,1.130250011,1,1,23
40,SC,South Carolina,176,59,235,45,5088916,4.617879328,6.916993717,2.318764939,10,4,219
41,SD,South Dakota,16,1,17,46,877790,1.936681894,3.64551886,0.227844929,0,1,16
42,TN,Tennessee,237,48,285,47,6782564,4.201950767,6.988507591,1.415393942,12,19,236
43,TX,Texas,806,176,982,48,28704330,3.421086644,5.615877465,1.226295824,19,44,896
44,UT,Utah,41,13,54,49,3159345,1.709215043,2.595474695,0.822955391,2,2,49
46,VT,Vermont,11,4,15,50,623960,2.404000256,3.525867043,1.28213347,0,1,13
45,VA,Virginia,234,46,280,51,8525660,3.284203217,5.489311091,1.079095343,3,12,257
47,WA,Washington,126,17,143,53,7530552,1.898931181,3.346368234,0.451494127,1,6,131
49,WV,West Virginia,56,9,65,54,1803077,3.604948652,6.211603831,0.998293473,2,2,59
48,WI,Wisconsin,138,28,166,55,5818049,2.853190133,4.743858293,0.962521973,1,9,155
50,WY,Wyoming,10,6,16,56,573720,2.788816844,3.486021056,2.091612633,1,0,15
