state,gender,ageGroup,count
Alaska,F,1.0,2
Alaska,F,3.0,6
Alaska,M,1.0,1
Alaska,M,2.0,1
Alaska,M,3.0,23
Alabama,F,1.0,1
Alabama,F,2.0,1
Alabama,F,3.0,37
Alabama,M,1.0,4
Alabama,M,2.0,11
Alabama,M,3.0,205
Arkansas,F,1.0,3
Arkansas,F,2.0,1
Arkansas,F,3.0,19
Arkansas,M,1.0,4
Arkansas,M,2.0,6
Arkansas,M,3.0,100
Arizona,F,1.0,1
Arizona,F,2.0,3
Arizona,F,3.0,36
Arizona,M,1.0,3
Arizona,M,2.0,11
Arizona,M,3.0,191
California,F,1.0,8
California,F,2.0,9
California,F,3.0,143
California,M,1.0,5
California,M,2.0,71
California,M,3.0,1200
Colorado,F,1.0,2
Colorado,F,2.0,1
Colorado,F,3.0,35
Colorado,M,1.0,3
Colorado,M,2.0,6
Colorado,M,3.0,95
Connecticut,F,1.0,12
Connecticut,F,3.0,15
Connecticut,M,1.0,10
Connecticut,M,2.0,1
Connecticut,M,3.0,69
District of Columbia,F,3.0,8
District of Columbia,M,2.0,2
District of Columbia,M,3.0,94
Delaware,F,3.0,8
Delaware,M,2.0,4
Delaware,M,3.0,29
Florida,F,1.0,5
Florida,F,2.0,8
Florida,F,3.0,121
Florida,M,1.0,12
Florida,M,2.0,23
Florida,M,3.0,583
Florida,M,3.0,1
Georgia,F,2.0,2
Georgia,F,3.0,66
Georgia,M,1.0,5
Georgia,M,2.0,18
Georgia,M,3.0,282
Hawaii,F,3.0,6
Hawaii,M,3.0,7
Iowa,F,3.0,9
Iowa,M,1.0,1
Iowa,M,3.0,45
Idaho,F,3.0,5
Idaho,M,1.0,1
Idaho,M,2.0,1
Idaho,M,3.0,21
Illinois,F,1.0,2
Illinois,F,2.0,5
Illinois,F,3.0,56
Illinois,M,1.0,5
Illinois,M,2.0,55
Illinois,M,3.0,489
Indiana,F,2.0,1
Indiana,F,3.0,41
Indiana,M,1.0,4
Indiana,M,2.0,12
Indiana,M,3.0,275
Kansas,F,1.0,2
Kansas,F,3.0,19
Kansas,M,0.0,2
Kansas,M,1.0,2
Kansas,M,2.0,4
Kansas,M,3.0,80
