,state,total,M,F
0,AK,32,24,8
1,AL,250,212,38
2,AR,121,98,23
3,AZ,228,190,38
4,CA,1366,1212,154
5,CO,128,91,37
6,CT,105,78,27
7,DC,98,90,8
8,DE,40,32,8
9,FL,693,563,129
10,GA,345,279,66
11,HI,13,7,6
12,IA,51,43,8
13,ID,27,22,5
14,IL,606,544,62
15,IN,320,280,40
16,KS,99,81,18
17,KY,169,131,38
18,LA,392,345,47
19,MA,89,79,10
20,MD,318,285,33
21,ME,26,21,5
22,MI,427,352,75
23,MN,99,85,14
24,MO,331,275,56
25,MS,119,94,25
26,MT,30,29,1
27,NC,406,337,69
28,ND,7,6,1
29,NE,54,48,6
30,NH,13,12,1
31,NJ,267,242,25
32,NM,77,59,18
33,NV,112,91,21
34,NY,357,310,47
35,OH,470,400,69
36,OK,166,133,33
37,OR,80,61,19
38,PA,536,463,73
39,RI,25,19,6
40,SC,225,170,55
41,SD,16,15,1
42,TN,253,209,44
43,TX,842,683,159
44,UT,53,40,13
45,VA,262,217,44
46,VT,14,10,4
47,WA,127,111,16
48,WI,160,132,28
49,WV,57,48,9
50,WY,16,10,6
